cod,categoria_servico,nome,nome_cor,somente_cartao
464,CONVENCIONAL,A. MUNHOZ / J. BOTANICO,AMARELA,S
226,ALIMENTADOR,ABAETE,LARANJA,N
182,TRONCAL,ABRANCHES,AMARELA,N
332,ALIMENTADOR,ACROPOLE,LARANJA,N
334,ALIMENTADOR,AGRICOLA,LARANJA,N
265,CONVENCIONAL,AHU / LOS ANGELES,AMARELA,S
560,CONVENCIONAL,ALFERES POLI,AMARELA,S
232,ALIMENTADOR,ALIANCA,LARANJA,N
629,ALIMENTADOR,ALTO BOQUEIR?O,LARANJA,N
373,TRONCAL,ALTO TARUM?,AMARELA,N
245,ALIMENTADOR,ANITA GARIBALDI,LARANJA,N
311,ALIMENTADOR,ARAGUAIA,LARANJA,F
823,ALIMENTADOR,AUGUSTA,LARANJA,S
820,ALIMENTADOR,AUGUSTA/V. MARQUETO,LARANJA,N
361,CONVENCIONAL,AUGUSTO STRESSER,AMARELA,S
342,ALIMENTADOR,B. ALTO / BOA VISTA,LARANJA,N
341,ALIMENTADOR,B. ALTO / STA. CANDIDA,LARANJA,N
307,LINHA DIRETA,B. ALTO / STA. FELICIDADE,PRATA,N
506,LINHA DIRETA,BAIRRO NOVO,PRATA,N
541,ALIMENTADOR,BAIRRO NOVO A,LARANJA,N
542,ALIMENTADOR,BAIRRO NOVO B,LARANJA,N
524,ALIMENTADOR,BAIRRO NOVO B/C,LARANJA,N
547,ALIMENTADOR,BAIRRO NOVO C,LARANJA,N
231,ALIMENTADOR,BANESTADO / CALIFORNIA,LARANJA,N
205,TRONCAL,BARREIRINHA,AMARELA,N
256,LINHA DIRETA,BARREIRINHA/GUADALUPE,PRATA,N
875,CONVENCIONAL,BIGORRILHO,AMARELA,S
225,ALIMENTADOR,BOA VISTA / BARREIRINHA,LARANJA,N
201,TRONCAL,BOM RETIRO / CABRAL,AMARELA,N
175,CONVENCIONAL,BOM RETIRO / PUC,AMARELA,F
540,ALIMENTADOR,BOQUEIRAO / MONDELEZ,LARANJA,N
503,EXPRESSO,BOQUEIR?O,VERMELHA,N
505,LINHA DIRETA,BOQUEIR?O / C. CIVICO,PRATA,N
528,ALIMENTADOR,BOQUEIR?O/PINHEIRINHO,LARANJA,N
627,ALIMENTADOR,BOSCH,LARANJA,N
170,CONVENCIONAL,BRACATINGA,AMARELA,N
