vehicle,line_code,date
LA012,828,2019-03-10
LB600,040,2019-03-10
LB601,040,2019-03-10
BA004,342,2019-03-09
BA008,811,2019-03-09
BA011,829,2019-03-09
BA013,812,2019-03-09
BA014,816,2019-03-09
BA017,822,2019-03-09
BA019,812,2019-03-09
BA020,812,2019-03-09
BA022,811,2019-03-09
BA031,222,2019-03-09
BA032,211,2019-03-09
BA033,211,2019-03-09
BA113,226,2019-03-09
BA119,225,2019-03-09
BA124,232,2019-03-09
BA125,232,2019-03-09
BA126,226,2019-03-09
BA127,924,2019-03-09
BA128,242,2019-03-09
BA132,231,2019-03-09
BA133,342,2019-03-09
BA134,243,2019-03-09
BA135,233,2019-03-09
BA137,924,2019-03-09
BA140,226,2019-03-09
BA601,216,2019-03-09
BA603,216,2019-03-09
BB300,011,2019-03-09
BB301,021,2019-03-09
BB302,010,2019-03-09
BB304,021,2019-03-09
BB305,011,2019-03-09
BB307,010,2019-03-09
BB308,010,2019-03-09
BB309,021,2019-03-09
BB310,011,2019-03-09
BB600,020,2019-03-09
BB603,030,2019-03-09
BB605,030,2019-03-09
BB607,020,2019-03-09
BB608,030,2019-03-09
BB610,030,2019-03-09
BB611,020,2019-03-09
BB614,020,2019-03-09
BB615,020,2019-03-09
BB617,030,2019-03-09
BC001,183,2019-03-09
BC002,205,2019-03-09
BC005,171,2019-03-09
BC006,169,2019-03-09
BC007,169,2019-03-09
BC009,175,2019-03-09
BC010,166,2019-03-09
BC014,870,2019-03-09
BC015,876,2019-03-09
BC016,876,2019-03-09
BC017,876,2019-03-09
BC018,175,2019-03-09
BC019,166,2019-03-09
BC020,870,2019-03-09
BC021,870,2019-03-09
BC024,207,2019-03-09
BC025,160,2019-03-09
BC026,160,2019-03-09
BC027,160,2019-03-09
BC028,374,2019-03-09
BC032,370,2019-03-09
BC034,182,2019-03-09
BC190,374,2019-03-09
BC280,205,2019-03-09
BC281,374,2019-03-09
BC283,870,2019-03-09
BC301,205,2019-03-09
BC302,371,2019-03-09
BC306,205,2019-03-09
BC308,207,2019-03-09
BC309,205,2019-03-09
BC310,182,2019-03-09
BC312,371,2019-03-09
BC314,372,2019-03-09
BC316,372,2019-03-09
BC317,371,2019-03-09
BC318,372,2019-03-09
BC597,170,2019-03-09
BC598,170,2019-03-09
BC599,170,2019-03-09
BC850,889,2019-03-09
BC851,188,2019-03-09
BC852,386,2019-03-09
BC905,361,2019-03-09
BC906,365,2019-03-09
BC911,224,2019-03-09
BC918,184,2019-03-09
BC925,385,2019-03-09
BC928,365,2019-03-09
BC929,343,2019-03-09
BC930,188,2019-03-09
BC931,389,2019-03-09
BC931,366,2019-03-09
BC932,365,2019-03-09
BC933,385,2019-03-09
BC933,209,2019-03-09
BC936,366,2019-03-09
BC938,214,2019-03-09
BD137,203,2019-03-09
BD139,203,2019-03-09
BD144,203,2019-03-09
BE700,203,2019-03-09
BE703,203,2019-03-09
BE706,203,2019-03-09
BE709,203,2019-03-09
BE714,203,2019-03-09
BE715,200,2019-03-09
BE716,200,2019-03-09
BE717,200,2019-03-09
BE719,200,2019-03-09
BE720,200,2019-03-09
BE721,203,2019-03-09
BI850,176,2019-03-09
BI851,168,2019-03-09
BI852,164,2019-03-09
BI853,875,2019-03-09
BI854,168,2019-03-09
BI856,212,2019-03-09
BI857,150,2019-03-09
BI858,176,2019-03-09
BI859,827,2019-03-09
BI860,285,2019-03-09
BI861,266,2019-03-09
BI862,275,2019-03-09
BI864,213,2019-03-09
BI865,272,2019-03-09
BI866,275,2019-03-09
BI867,285,2019-03-09
BI868,236,2019-03-09
BI869,260,2019-03-09
BI871,280,2019-03-09
BI872,272,2019-03-09
BI873,213,2019-03-09
BI874,274,2019-03-09
BI876,266,2019-03-09
BI877,212,2019-03-09
BI878,280,2019-03-09
BI879,311,2019-03-09
BL300,256,2019-03-09
BL302,022,2019-03-09
BL304,022,2019-03-09
BL305,023,2019-03-09
BL307,256,2019-03-09
BL309,023,2019-03-09
BL313,256,2019-03-09
BL314,023,2019-03-09
BL316,256,2019-03-09
BL317,022,2019-03-09
BL319,022,2019-03-09
BL320,023,2019-03-09
BL322,022,2019-03-09
BL323,023,2019-03-09
BL323,022,2019-03-09
BL326,022,2019-03-09
BL328,307,2019-03-09
BL334,023,2019-03-09
BL335,022,2019-03-09
BL337,518,2019-03-09
BL338,307,2019-03-09
BL693,023,2019-03-09
BL696,023,2019-03-09
BL698,023,2019-03-09
BN411,214,2019-03-09
BN605,274,2019-03-09
BN605,229,2019-03-09
BN609,244,2019-03-09
BN616,184,2019-03-09
BN617,272,2019-03-09
BN621,181,2019-03-09
BN624,386,2019-03-09
BN626,275,2019-03-09
BN627,285,2019-03-09
BN627,189,2019-03-09
BR108,020,2019-03-09
BT003,979,2019-03-09
BT005,979,2019-03-09
BT006,979,2019-03-09
BT007,979,2019-03-09
BT009,979,2019-03-09
BT010,979,2019-03-09
CA600,216,2019-03-09
CA603,216,2019-03-09
CB601,020,2019-03-09
CB602,030,2019-03-09
CB697,020,2019-03-09
CC194,372,2019-03-09
CC195,375,2019-03-09
CC196,380,2019-03-09
CC197,375,2019-03-09
CC297,373,2019-03-09
CC300,380,2019-03-09
CI002,222,2019-03-09
CI005,341,2019-03-09
CL300,307,2019-03-09
CL302,307,2019-03-09
CL303,022,2019-03-09
CL306,307,2019-03-09
CL698,022,2019-03-09
CR804,022,2019-03-09
DA009,332,2019-03-09
DA010,336,2019-03-09
DA012,321,2019-03-09
DA013,336,2019-03-09
DA015,338,2019-03-09
DA016,321,2019-03-09
DA019,338,2019-03-09
DA023,334,2019-03-09
DA023,322,2019-03-09
DA027,334,2019-03-09
DA029,338,2019-03-09
DA033,332,2019-03-09
DB025,030,2019-03-09
DB025,020,2019-03-09
DB300,020,2019-03-09
DC082,462,2019-03-09
DC083,468,2019-03-09
DC087,463,2019-03-09
DC089,468,2019-03-09
DC090,462,2019-03-09
DC091,463,2019-03-09
DC091,309,2019-03-09
DC092,463,2019-03-09
DC093,462,2019-03-09
DC292,322,2019-03-09
DC293,474,2019-03-09
DC294,465,2019-03-09
DC295,468,2019-03-09
DC295,020,2019-03-09
DC298,462,2019-03-09
DC851,461,2019-03-09
DC852,489,2019-03-09
DC852,464,2019-03-09
DC854,470,2019-03-09
DC855,461,2019-03-09
DE700,303,2019-03-09
DE701,303,2019-03-09
DE702,303,2019-03-09
DE706,303,2019-03-09
DE708,303,2019-03-09
DE712,303,2019-03-09
DE714,303,2019-03-09
DE715,303,2019-03-09
DE716,303,2019-03-09
DE719,303,2019-03-09
DE720,303,2019-03-09
DL300,305,2019-03-09
DL301,023,2019-03-09
DL302,022,2019-03-09
DL304,304,2019-03-09
DL305,023,2019-03-09
DL306,023,2019-03-09
DL310,304,2019-03-09
DL311,469,2019-03-09
DL313,469,2019-03-09
DL314,305,2019-03-09
DL315,022,2019-03-09
DL316,305,2019-03-09
DL317,023,2019-03-09
DN021,560,2019-03-09
DN028,002,2019-03-09
DN029,002,2019-03-09
DN601,467,2019-03-09
DN602,466,2019-03-09
DN604,387,2019-03-09
DR104,021,2019-03-09
DR105,020,2019-03-09
DR106,050,2019-03-09
DR115,021,2019-03-09
DR406,335,2019-03-09
DR408,216,2019-03-09
DR801,022,2019-03-09
DR803,022,2019-03-09
DR804,023,2019-03-09
EA001,528,2019-03-09
EA002,513,2019-03-09
EA003,521,2019-03-09
EA006,657,2019-03-09
EA007,515,2019-03-09
EA008,335,2019-03-09
EA009,528,2019-03-09
EA010,511,2019-03-09
EA011,621,2019-03-09
EA012,621,2019-03-09
EA013,621,2019-03-09
EA014,621,2019-03-09
EA023,621,2019-03-09
EA024,535,2019-03-09
EA025,657,2019-03-09
EA074,512,2019-03-09
EA077,512,2019-03-09
EA166,532,2019-03-09
EA168,531,2019-03-09
EA169,536,2019-03-09
EA175,549,2019-03-09
EA176,511,2019-03-09
EA177,531,2019-03-09
EA181,523,2019-03-09
EA183,519,2019-03-09
EA186,532,2019-03-09
EA187,532,2019-03-09
EA189,522,2019-03-09
EA190,338,2019-03-09
EA192,522,2019-03-09
EA194,533,2019-03-09
EA195,515,2019-03-09
EA197,513,2019-03-09
